ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,85AB000887,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,12/04/1985 09:50:00,10401,749,RESIDUE NONFILTERABLE,,0.6,mg/L,,,,,,396,10,0
ABS001,85AB000887,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,12/04/1985 09:50:00,10451,745,RESIDUE FILTERABLE,,260,mg/L,,,,,,404,10,0
ABS001,86AB000232,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,01/29/1986 09:20:00,10401,749,RESIDUE NONFILTERABLE,,1.8,mg/L,,,,,,396,10,0
ABS001,86AB000232,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,01/29/1986 09:20:00,10451,745,RESIDUE FILTERABLE,,215,mg/L,,,,,,404,10,0
ABS001,86AB000233,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,02/26/1986 15:15:00,10401,749,RESIDUE NONFILTERABLE,,185,mg/L,,,,,,396,10,0
ABS001,86AB000233,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,02/26/1986 15:15:00,10451,745,RESIDUE FILTERABLE,,225,mg/L,,,,,,404,10,0
ABS001,86AB000234,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,04/23/1986 09:30:00,10401,749,RESIDUE NONFILTERABLE,,12,mg/L,,,,,,396,10,0
ABS001,86AB000234,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,04/23/1986 09:30:00,10451,745,RESIDUE FILTERABLE,,210,mg/L,,,,,,404,10,0
ABS001,86AB000235,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/27/1986 10:00:00,10401,749,RESIDUE NONFILTERABLE,,107,mg/L,,,,,,396,10,0
ABS001,86AB000235,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,05/27/1986 10:00:00,10451,745,RESIDUE FILTERABLE,,190,mg/L,,,,,,404,10,0
