FEATURE_CO,FEATURE_TY,NAME,SOURCE,CAPTURE_DA,PS_FLOW,From,To,NOTES,length.m
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR LOWER 1,FIREBAG RIVER / MOOSE CREEK,,2041.318
GA61700000,STR-INDEF,Stanley Creek,20KADD,1980/05/09,P,AB07DA0490,MUSKEG RIVER / STANLEY CREEK,,2039.993
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,AB07DC0010,FIR UPPER 1,,1963.511
,,APCWDS OUTFLOW,,,,APCWDS OUTFLOW,ATHABASCA / APCWDS,,1838.580
GA28362530,RIV-MAJ-REP-PRI,Muskeg River,,,P,S07,MUS RIFF 2,,1801.778
GA28362400,LAKE-REP-PRI,North Muskeg Creek,,,P,KEARL LAKE INFLOW,KEARL LAKE OUTFLOW,,1794.942
,,EMSC INLET TO EMSC CONFLUENCE,,,,EMSC INLET,EMSC CONFLUENCE,UNCONFIRMED ROUTE,1564.682
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,AB07DC0110,ATHABASCA / FIREBAG RIVER,,2643.546
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIREBAG RIVER / FIREBAG TRIB,AB07DC0010,,1382.451
,,SETTLING POND 1 TO CONFLUENCE WITH SETTLING POND 3,,,,SETTLING POND 1,SETTLING POND 1 / 3,,1371.413
GA61900000,STR-PER,Wapasu Creek,20KADD,1980/05/09,P,AB07DA1126,MUSKEG RIVER / WAPASU CREEK,,1284.749
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID 2,FIREBAG RIVER / WATERBODY 3,,1141.635
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR UPPER,FIREBAG RIVER / FIREBAG TRIB,,1119.882
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,B-MR-1,AB07DA0420,,1032.859
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,AB07DA0430,B-MR-1,,883.573
,,FORTH HILLS UNNAMED CREEK OUTFLOW,,,,SETTLING POND 1 / 3,ATHABASCA / SETTLING POND 1/3,,1756.014
GA61900000,STR-PER,Jackpine Creek,20KADD,1980/05/09,P,JAC-1,MUSKEG RIVER / JACKPINE CREEK,,806.513
,,CODA 2-POND Outflow,,,,CODA 2-POND,MUSKEG RIVER / CODA 2-POND,Likely not a release,806.042
GA61700000,STR-INDEF,A-RWI-1 OUTFLOW,20KADD,1980/05/09,P,A-RWI-1,ATHABASCA / A-RWI-1,,786.414
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,AB07DA1125,MUSKEG RIVER / WAPASU CREEK,,746.795
GA61700000,STR-INDEF,Stanley Creek,20KADD,1980/05/09,P,EMSC CONFLUENCE,STANLEY CREEK WETLAND,,699.917
,,SETTLING POND 14 OUTFALL,,,,SETTLING POND 14,ATHABASCA / SETTLING POND 14,,646.919
,,JACKPINE POND 6 OUTFALL,,,,JACKPINE POND 6,JACKPINE POND 6 CONFLUENCE,,607.291
GA61700000,STR-INDEF,Shelley Creek,20KADD,1980/05/09,P,AB07DA2756,MUSKEG RIVER / SHELLEY CREEK,,518.118
,,SETTLING POND 1A OUTFLOW,,,,SETTLING POND 1A,ATHABASCA / SETTLING POND 1A,,476.854
GA61900000,STR-PER,Jackpine Creek,20KADD,1980/05/09,P,AB07DA1090,JACKPINE POND 3 CONFLUENCE,,464.206
GA28362530,RIV-MAJ-REP-PRI,Muskeg River,,,P,MUR-1,ATHABASCA / MUSKEG RIVER,,448.513
,,JACKPINE POND 3 OUTFALL,,,,JACKPINE POND 3,JACKPINE POND 3 CONFLUENCE,,391.610
,,APCWDS POND,,,,APCWDS INFLOW,APCWDS OUTFLOW,,378.213
GA61900000,STR-PER,Muskeg Creek,20KADD,1980/05/09,P,AB07DA2755,MUSKEG RIVER / MUSKEG CREEK,,357.357
,,PUHALSKI OUTFLOW,,,,PUHALSKI,EMSC OUTLET,ROUTE CEASED IN 2020,310.958
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,AB07DA0595,MUSKEG RIVER / JACKPINE CREEK,,306.662
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,AB07DC0060,FIR LOWER 2,,284.042
GA28362530,RIV-MAJ-REP-PRI,Firebag River,,,P,FIR MID 6,FIRMID06A,,264.880
,,Waterbody 3,,,,CP-FT-A-3,CP-FT-A,,250.648
,,SETTLING POND 3 TO UNNAMED CREEK,,,,SETTLING POND 3,SETTLING POND 1 / 3,"Estimated Path, cannot confirm",245.207
GA61900000,STR-PER,Muskeg River,20KADD,1980/05/09,P,MUSKEG RIVER / A-D-1,C-MR-1,,212.331
,,,,,,SHARK_SED_POND,SHARKBITE OUTFLOW,,50
,,SHARKBITE DRAINAGE OUTFLOW,,,,SHARKBITE OUTFLOW,MUSKEG RIVER / SHARKBITE,,211.028
,,,,,,MUSKEG RIVER / SHARKBITE,MUSKEG RIVER / AB07DA0610,,50
,,EMSC OUTLET TO EMSC CONFLUENCE,,,,EMSC OUTLET,EMSC CONFLUENCE,,52.622
GA28363530,RIV-MAJ-REP-SEC,Athabasca River,,,P,ATHABASCA / MUSKEG RIVER,ATHABASCA / SLGP,,14308.978
GA28362530,RIV-MAJ-REP-PRI,Athabasca River,,,P,ATHABASCA / SLGP,ATHABASCA / APCWDS,,7447.023
GA28362530,RIV-MAJ-REP-PRI,Athabasca River,,,P,ATHABASCA / APCWDS,ATHABASCA / SETTLING POND 1A,,5304.793
GA28362530,RIV-MAJ-REP-PRI,Athabasca River,,,P,ATHABASCA / SETTLING POND 1A,ATHABASCA / SETTLING POND 1/3,,1961.454
GA28363530,RIV-MAJ-REP-SEC,Athabasca River,,,P,ATHABASCA / SETTLING POND 1/3,ATHABASCA / SETTLING POND 14,,1095.246
GA28363530,RIV-MAJ-REP-SEC,Athabasca River,,,S,ATHABASCA / SETTLING POND 14,ATHABASCA / FORT CREEK,,3482.649
GA28362530,RIV-MAJ-REP-PRI,Athabasca River,,,P,ATHABASCA / FORT CREEK,ATHABASCA / SETTLING POND 7,,7213.854
GA28362530,RIV-MAJ-REP-PRI,Athabasca River,,,P,ATHABASCA / SETTLING POND 7,ATHABASCA / A-RWI-1,,12735.642
GA28362530,RIV-MAJ-REP-PRI,Athabasca River,,,P,ATHABASCA / A-RWI-1,ATHABASCA / FIREBAG RIVER,,25273.387
,,Muskeg River,,,,AB07DA2754,MUSKEG RIVER / MUSKEG CREEK,,87.516
,,ALD-01,,,,AB07DA0606,MUSKEG RIVER / AB07DA0606,,50.489
,,,,,,AB07DA0610,MUSKEG RIVER / AB07DA0610,,50
IGNORE,IGNORE,Athabasca River,,,P,ATHABASCA RIVER UPSTREAM,ATHABASCA / MUSKEG RIVER,,1
IGNORE,IGNORE,Athabasca River,,,P,ATHABASCA / FIREBAG RIVER,ATHABASCA RIVER DOWNSTREAM,,1
